index ,smarts,smiles,ionization_center_id,acid_or_base,,
23,"[C:0](=[O:1])-[N:2](-[Br,Cl,I,F,S,O,N,P:3])-[H:4]",O=CNF,4,A ,,
23,"[C:0](=[O:1])-[N:2](-[Br,Cl,I,F,S,O,N,P:3])-[H:4]",O=CNS,4,A ,,
23,"[C:0](=[O:1])-[N:2](-[Br,Cl,I,F,S,O,N,P:3])-[H:4]",O=CNO,4,A ,,
23,"[C:0](=[O:1])-[N:2](-[Br,Cl,I,F,S,O,N,P:3])-[H:4]",O=CNN,4,A ,,
23,"[C:0](=[O:1])-[N:2](-[Br,Cl,I,F,S,O,N,P:3])-[H:4]",O=CNP,4,A ,,
24,[C:0](=[O:1])-[N:2]-[H:3],[NH]C=O,3,A ,,
25,[SX4:0](=[O:1])(=[O:2])-[NX3+0:3]-[H:4],*NS(*)(=O)=O,4,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(C)(=O)O,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",NP(N)(=O)O,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",O=P(O)(F)F,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",O=P(O)(Cl)Cl,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",O=P(O)(Br)Br,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",O=P(O)(I)I,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(=O)(O)I,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(=O)(O)Br,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(=O)(O)Cl,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(=O)(O)F,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(=O)(O)Cl,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(=O)(O)F,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",CP(=O)(O)N,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",[N]P(=O)(O)I,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",[N]P(=O)(O)Br,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",[N]P(=O)(O)Cl,5,A ,,
26,"[PX4:0](=[O:1])(-[C,c,N,n,F,Cl,Br,I:2])(-[C,c,N,n,F,Cl,Br,I:3])-[OX2:4]-[H:5]",[N]P(=O)(O)F,5,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",COP(=O)(O)OC,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",NOP(=O)(O)ON,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",O=P(O)(OF)OF,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",O=P(O)(OCl)OCl,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",O=P(O)(OBr)OBr,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",O=P(O)(OI)OI,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",COP(=O)(O)OI,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",COP(=O)(O)OBr,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",COP(=O)(O)OCl,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",COP(=O)(O)OF,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",COP(=O)(O)ON,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",[N]OP(=O)(O)OI,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",[N]OP(=O)(O)OBr,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",[N]OP(=O)(O)OCl,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",[N]OP(=O)(O)OF,7,A ,,
27,"[PX4:0](=[O:1])(-[OX2:2]-[C,c,N,n, F,Cl,Br,I:3])(-[O+0:4]-[C,c,N,n,F,Cl, Br,I:5])-[OX2:6]-[H:7]",[N]OP(=O)(O)O,7,A ,,
